"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value"
"AUT","GVCPARTICIP","TOT","PC_GEXP","A","2014",27.32
"BEL","GVCPARTICIP","TOT","PC_GEXP","A","2014",35.55
"CAN","GVCPARTICIP","TOT","PC_GEXP","A","2014",23.26
"CZE","GVCPARTICIP","TOT","PC_GEXP","A","2014",46.61
"DNK","GVCPARTICIP","TOT","PC_GEXP","A","2014",30.7
"FIN","GVCPARTICIP","TOT","PC_GEXP","A","2014",35.03
"FRA","GVCPARTICIP","TOT","PC_GEXP","A","2014",26.27
"DEU","GVCPARTICIP","TOT","PC_GEXP","A","2014",25.35
"GRC","GVCPARTICIP","TOT","PC_GEXP","A","2014",26.97
"HUN","GVCPARTICIP","TOT","PC_GEXP","A","2014",47.31
"ISL","GVCPARTICIP","TOT","PC_GEXP","A","2014",34.61
"IRL","GVCPARTICIP","TOT","PC_GEXP","A","2014",48.31
"ITA","GVCPARTICIP","TOT","PC_GEXP","A","2014",25.36
"JPN","GVCPARTICIP","TOT","PC_GEXP","A","2014",18.19
"KOR","GVCPARTICIP","TOT","PC_GEXP","A","2014",37.84
"LUX","GVCPARTICIP","TOT","PC_GEXP","A","2014",60.22
"MEX","GVCPARTICIP","TOT","PC_GEXP","A","2014",33.5
"NLD","GVCPARTICIP","TOT","PC_GEXP","A","2014",32.45
"NZL","GVCPARTICIP","TOT","PC_GEXP","A","2014",15.84
"NOR","GVCPARTICIP","TOT","PC_GEXP","A","2014",18.74
"POL","GVCPARTICIP","TOT","PC_GEXP","A","2014",32.98
"PRT","GVCPARTICIP","TOT","PC_GEXP","A","2014",32.39
"SVK","GVCPARTICIP","TOT","PC_GEXP","A","2014",48.19
"ESP","GVCPARTICIP","TOT","PC_GEXP","A","2014",26.97
"SWE","GVCPARTICIP","TOT","PC_GEXP","A","2014",30.15
"CHE","GVCPARTICIP","TOT","PC_GEXP","A","2014",21.28
"TUR","GVCPARTICIP","TOT","PC_GEXP","A","2014",21.79
"GBR","GVCPARTICIP","TOT","PC_GEXP","A","2014",21.87
"USA","GVCPARTICIP","TOT","PC_GEXP","A","2014",15.28
"ARG","GVCPARTICIP","TOT","PC_GEXP","A","2014",12.45
"BRA","GVCPARTICIP","TOT","PC_GEXP","A","2014",12.42
"BGR","GVCPARTICIP","TOT","PC_GEXP","A","2014",41.67
"KHM","GVCPARTICIP","TOT","PC_GEXP","A","2014",38.3
"CHL","GVCPARTICIP","TOT","PC_GEXP","A","2014",18.94
"CHN","GVCPARTICIP","TOT","PC_GEXP","A","2014",29.35
"EST","GVCPARTICIP","TOT","PC_GEXP","A","2014",31.96
"HKG","GVCPARTICIP","TOT","PC_GEXP","A","2014",20.42
"IND","GVCPARTICIP","TOT","PC_GEXP","A","2014",20.98
"IDN","GVCPARTICIP","TOT","PC_GEXP","A","2014",12
"ISR","GVCPARTICIP","TOT","PC_GEXP","A","2014",22.35
"LTU","GVCPARTICIP","TOT","PC_GEXP","A","2014",25.64
"MYS","GVCPARTICIP","TOT","PC_GEXP","A","2014",39.09
"PHL","GVCPARTICIP","TOT","PC_GEXP","A","2014",23.66
"ROU","GVCPARTICIP","TOT","PC_GEXP","A","2014",25.05
"RUS","GVCPARTICIP","TOT","PC_GEXP","A","2014",13.65
"SAU","GVCPARTICIP","TOT","PC_GEXP","A","2014",3.55
"SGP","GVCPARTICIP","TOT","PC_GEXP","A","2014",40.52
"SVN","GVCPARTICIP","TOT","PC_GEXP","A","2014",33.95
"ZAF","GVCPARTICIP","TOT","PC_GEXP","A","2014",20.67
"TWN","GVCPARTICIP","TOT","PC_GEXP","A","2014",43.1
"THA","GVCPARTICIP","TOT","PC_GEXP","A","2014",37.31
"VNM","GVCPARTICIP","TOT","PC_GEXP","A","2014",36.3
"COL","GVCPARTICIP","TOT","PC_GEXP","A","2014",8.89
"CRI","GVCPARTICIP","TOT","PC_GEXP","A","2014",26.49
"HRV","GVCPARTICIP","TOT","PC_GEXP","A","2014",19.08
"TUN","GVCPARTICIP","TOT","PC_GEXP","A","2014",34.05
"MAR","GVCPARTICIP","TOT","PC_GEXP","A","2014",24.97
"PER","GVCPARTICIP","TOT","PC_GEXP","A","2014",12.56
